ID,SizcNID,InstituceNID,SizcN,InstituceN
86,95,65,Sociální problémy,Masarykova sociologická společnost
87,95,68,Sociální problémy,Společnost pro sociální bádání
88,95,70,Sociální problémy,Knihovna Sociálních problémů
89,96,20,Sociální revue,Sociální ústav ČSR
90,99,41,Sociální studia,Masarykova univerzita v Brně
91,100,45,Sociologica,Palackého univerzita v Olomouci
92,101,21,Sociologická revue,Ukrajinský sociologický ústav
93,101,39,Sociologická revue,Karlova univerzita v Praze
94,101,41,Sociologická revue,Masarykova univerzita v Brně
95,101,65,Sociologická revue,Masarykova sociologická společnost
96,103,4,Sociologický časopis / Czech Sociological Review,Vědecké kolegium filosofie a sociologie ČSAV
97,103,15,Sociologický časopis / Czech Sociological Review,Sociologický ústav AV ČR
98,103,22,Sociologický časopis / Czech Sociological Review,Ústav pro filosofii a sociologii ČSAV
99,105,11,Sociologie a historie zemědělství,Institut sociologie venkova a historie zemědělství VÚZEI
100,106,19,Statistický obzor,Státní úřad statistický
101,107,19,Statistika,Státní úřad statistický
102,109,39,Studia sociologica,Karlova univerzita v Praze
103,110,7,Veřejné mínění,Československý ústav pro výzkum veřejného mínění
104,111,26,Vědecké informace Ústavu marxismu-leninismu pro vysoké školy,Ústav sociálně politických věd UK
105,112,68,Knihovna Sociálních problémů,Společnost pro sociální bádání
106,112,71,Knihovna Sociálních problémů,Sociologická knihovna MSS
107,112,73,Knihovna Sociálních problémů,Sociologické nakladatelství (SLON)
108,113,65,Sociologická knihovna MSS,Masarykova sociologická společnost
109,113,70,Sociologická knihovna MSS,Knihovna Sociálních problémů
110,113,73,Sociologická knihovna MSS,Sociologické nakladatelství (SLON)
111,114,73,Sociologická knižnice nakladatelství Svoboda,Sociologické nakladatelství (SLON)
112,115,72,Sociologické nakladatelství (SLON),Sociologická knižnice nakladatelství Svoboda
113,123,61,Kategorie:Vědecké společnosti a spolky,Česká asociace pro sociální antropologii
114,123,62,Kategorie:Vědecké společnosti a spolky,Česká demografická společnost
115,123,63,Kategorie:Vědecké společnosti a spolky,Česká sociologická společnost
116,123,64,Kategorie:Vědecké společnosti a spolky,Československá sociologická společnost při ČSAV
117,123,65,Kategorie:Vědecké společnosti a spolky,Masarykova sociologická společnost
118,123,67,Kategorie:Vědecké společnosti a spolky,Sociologický kruh posluchačů vysokých škol pražských
119,123,68,Kategorie:Vědecké společnosti a spolky,Společnost pro sociální bádání
120,123,69,Kategorie:Vědecké společnosti a spolky,Spolek pro založení a vydržování soukromého institutu věd sociologických a filosofických
122,12,1,Masarykova akademie práce,Česká akademie věd a umění
124,68,1,Společnost pro sociální bádání,Česká akademie věd a umění
126,120,1,Kategorie:Orgány řízení vědy,Česká akademie věd a umění
128,121,1,Kategorie:Státní a veřejné výzkumné instituce,Česká akademie věd a umění
131,120,2,Kategorie:Orgány řízení vědy,Grantová agentura České republiky
134,120,3,Kategorie:Orgány řízení vědy,"Rada pro výzkum, vývoj a inovace"
137,64,4,Československá sociologická společnost při ČSAV,Vědecké kolegium filosofie a sociologie ČSAV
140,120,4,Kategorie:Orgány řízení vědy,Vědecké kolegium filosofie a sociologie ČSAV
142,121,5,Kategorie:Státní a veřejné výzkumné instituce,Československá akademie zemědělská
144,121,6,Kategorie:Státní a veřejné výzkumné instituce,Československý ústav zahraniční
148,121,7,Kategorie:Státní a veřejné výzkumné instituce,Československý ústav pro výzkum veřejného mínění
153,121,8,Kategorie:Státní a veřejné výzkumné instituce,Československý ústav práce
155,31,9,Výzkumný ústav strojírenské technologie a ekonomiky,Dům techniky ČSVTS Pardubice
