ID,SociologoveID1,VelkySgSID2,Sociologove,VelkySgS
1,1,2128,Adamec Čeněk,Sociologie česká v l. 1948–1994
2,1,2229,Adamec Čeněk,Sociologie tělesné kultury
3,1,2791,Adamec Čeněk,Výzkum veřejného mínění
4,2,413,Alan Josef,Dospělost
5,2,987,Alan Josef,Každodennost
6,2,1321,Alan Josef,Mládí
7,2,1535,Alan Josef,Otázka ženská
8,2,1644,Alan Josef,Politika rodinná
9,2,2121,Alan Josef,Sociologie biografická
10,2,2128,Alan Josef,Sociologie česká v l. 1948–1994
11,2,2152,Alan Josef,Sociologie interpretativní
12,2,2175,Alan Josef,Sociologie marxisticko-leninská
13,2,2211,Alan Josef,Sociologie rodiny
14,2,2219,Alan Josef,Sociologie slovenská
15,2,2248,Alan Josef,Sociologie vědy
16,2,2251,Alan Josef,Sociologie výchovy
17,2,2403,Alan Josef,Stupnice kvalifikační
18,2,2758,Alan Josef,Výchova
19,3,2234,Árnason Johann Pál,Sociologie v Austrálii
20,5,30,Beneš Edvard,Alkoholismus
21,5,629,Beneš Edvard,Filozofie praxe
