index,name,born,died
131,Smetana Augustin,1814-06-15,1851-01-30
132,Solař Josef,1919-11-26,2002-02-25
133,Soldát Alois,1862-07-12,1952-12-23
134,Sorokin Pitirim Alexandrovič,1889-02-04,1968-02-11
135,Srb Vladimír,1917-09-15,2006-03-26
136,Stark Werner,1909-12-02,1985-10-04
137,Strmiska Zdeněk,1925-10-02,2009-01-15
138,Střítecký Jaroslav,1941-10-04,2030
139,Suda Zdeněk,1920-10-07,2015-10-21
140,Sviták Ivan,1925-10-10,1994-10-20
141,Svoboda Ludvík,1903-05-04,1977-08-03
142,Šapoval Mykyta,1882-06-08,1932-02-25
143,Šiklová Jiřina,1935-06-17,2030
144,Šíma Jaroslav,1914-01-31,1955-11-18
145,Škrach Vasil Kaprálek,1891-06-14,1943-05-28
146,Šmejkal Karel,1903-11-18,1933-07-19
147,Šnobl Jaroslav,1904-09-07,1975-07-22
148,Šrámek Jan,1870-08-11,1956-04-22
149,Šrubař Ilja,1946-08-06,2030
150,Štefánek Anton,1877-04-05,1964-04-29
151,Štern Evžen,1889-05-07,1942-11-12
152,Tauber Jan Bohumil,1906-07-07,1976-08-15
153,Teige Karel,1900-12-13,1951-10-01
154,Teltšík Rudolf,1886-02-10,1942-11-07
155,Tlustý Vojtěch,1921-01-05,1989-08-22
156,Tomeš Igor,1931-04-17,2018-03-23
157,Trapl Miloslav,1899-04-30,1979-06-01
158,Tyrš Miroslav,1832-09-17,1884-08-08
159,Uhlíř Antonín,1882-06-18,1957-11-23
160,Ullrich Zdeněk,1901-03-21,1955-06-17
161,Urbánek Eduard,1931-08-16,1998-09-10
162,Vacek Lubomír,1930-05-01,2030
163,Václavek Bedřich,1897-01-10,1943-03-05
164,Vaněk Antonín,1932-05-17,1996
165,Vašek Bedřich,1882-02-10,1959-08-14
166,Večerník Jiří,1941-03-22,2030
167,Verunáč Václav,1893-09-17,1960-05-15
168,Voráček Josef,1910-01-27,1980-05-22
169,Vybral Vladimír,1902-12-09,1980-05-27
170,Weber Alfred,1868-07-30,1958-05-02
171,Weyr František,1879-04-25,1951-06-29
172,Von Wieser Friedrich,1851-07-10,1926-07-22
173,Winter Lev,1876-01-26,1935-08-29
174,Ziegler Heinz Otto,1903-03-11,1944-05-04
175,Zich František,1935-08-14,2030
176,Zwicker Bruno,1907-02-17,1944-09-29
177,Žalud Augustin,1872-12-21,1928-09-25
178,Žmavc Ivan,1871-01-11,1956-11-22
