index,vs_ID,Sociolog_ID,vs,Sociolog
1022,2166,170,Sociologie kultury,Weber Alfred
1024,2187,170,Sociologie německá,Weber Alfred
1026,2252,170,Sociologie výtvarného umění,Weber Alfred
1028,2394,170,Struktura sociologie paradigmatická,Weber Alfred
1030,2628,170,Typologie společností,Weber Alfred
1032,2146,171,Sociologie hodnot,Weyr František
1034,2103,175,Sociální a společenské,Zich František
1036,2219,175,Sociologie slovenská,Zich František
1038,2245,175,Sociologie veřejného mínění,Zich František
1040,2743,175,Výběr kvótní,Zich František
1042,2127,176,Sociologie česká do r. 1948,Zwicker Bruno
1044,2130,176,Sociologie deviantního chování,Zwicker Bruno
1046,2127,178,Sociologie česká do r. 1948,Žmavc Ivan
